sample_id	gene_name	est_counts	tpm
1	A1BG	80.23228	11.155641
1	A1CF	18.0424005643	0.382263011767
1	A2M	3.0	1.226161
1	A2ML1	21.912401	2.756862
1	A2MP1	2.0	0.0924413
1	A3GALT2	4.0	0.651329
1	A4GALT	2.0	0.5881027
1	A4GNT	0.0	0.0
1	AAAS	55.99996	10.411246
1	AACS	144.052207	28.735027
1	AACSP1	6.41867	0.406311
1	AADAC	0.0	0.0
1	AADACL2	0.0	0.0
1	AADACL3	1.0	0.0482633
1	AADACL4	3.0	0.366972
1	AADACP1	0.0	0.0
1	AADAT	0.0	0.0
1	AAED1	402.67179	31.81979
1	AAGAB	416.00018	35.811995
1	AAK1	246.36362	14.351457
1	AAMDC	37.91433	18.57761
1	AAMP	256.9999	40.605355
1	AANAT	30.09715	7.530847
1	AAR2	84.9999	7.263336
1	AARD	10.76137	3.532006
1	AARS	162.70328	17.53205
1	AARS2	73.703	3.366577
1	AARSD1	114.603483	40.015077
1	AARSP1	0.0	0.0
1	AASDH	55.0000111518	3.64358500657
1	AASDHPPT	346.99226	37.05444
1	AASS	22.93219	1.524603
1	AATF	213.00001	27.173482
1	AATK	4.0000050362	0.312125101004
1	AB019438.66	0.0	0.0
1	AB019441.29	0.0	0.0
1	ABAT	101.3447	8.645946
1	ABBA01017803.1	0.0	0.0
1	ABC12-47043100G14.2	0.0	0.0
1	ABC12-47964100C23.1	0.808709	0.156227
1	ABC13-48559800H2.1	1.295	0.325805
1	ABC13-48559800H2.2	0.0	0.0
1	ABC14-1080714F14.1	0.0	0.0
1	ABC14-864958H18.2	6.39807	1.3482312
1	ABC7-42391500H16.2	0.0	0.0
1	ABC7-42418200C9.1	0.0	0.0
1	ABC7-43041300I9.1	0.0	0.0
1	ABC7-481722F1.1	0.0	0.0
1	ABC9-43961700F1.1	0.0	0.0
1	ABCA1	1368.00267	25.785268
1	ABCA10	37.94598	1.312177
1	ABCA11P	15.4297	1.773569
1	ABCA12	0.0	0.0
1	ABCA13	19.09657	0.7996261
1	ABCA17P	5.0	2.6847954
1	ABCA2	385.062036687	18.7648530949
