NAME	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells gamma delta	T cells regulatory (Tregs)	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	
ABCB4	555.7134485831996	10.7442350018867	7.225818568347103	4.311280198083717	4.605860047612748	7.4064416972515295	8.043975587143665	6.469992913559753	9.312294623654154	7.833081746981829	13.6828385595595	4.556712661421982	6.202495893132641	7.951360486989887	27.557710037251155	121.43227743160935	114.63674657151364	4.872184408438523	4.727985349907461	34.11365857915346	15.030530479529826	14.906888455732588	
ABCB9	15.603543699710244	22.094787235023585	653.3923278742111	24.22372293485246	35.67150716669791	30.04819243320026	38.455422857556556	17.604794947274772	19.715721612321676	46.07365683860159	21.863722796443824	16.396142733535008	20.309425729367423	56.25188748859466	29.380878129285122	40.390260169065066	123.99330553564738	23.38460308491465	53.46675671638333	23.61574571126439	29.786441794216003	33.67914680923238	
ACAP1	215.30595120537427	321.62102081063415	38.61687227855925	1055.6133781831604	1790.097169996522	922.1527466901626	340.8834244819289	1107.7982646031664	280.07571921508	1995.4826007862289	512.6369090080353	387.58174223650957	190.87902436096584	48.97221651342036	30.974253749991473	23.055150357123466	61.38654965725172	26.41292250715678	104.20019843226427	73.60793242864122	696.4428018459337	596.0259609083782	
ACHE	15.117949305674212	16.648847292317125	22.12373672301473	13.428288411128765	27.18773248119056	18.444926629029418	13.441268341104308	14.805541818154344	33.65844838416851	24.652711959418582	16.653738491245207	13.441268341104308	16.37526833046357	13.692962895967375	1373.069620259349	48.5857607082668	16.71547355046427	193.15997720486462	13.948777901202117	20.50124852231275	40.41492671968737	22.76649356182166	
ACP5	605.8973843029174	1935.2014791446434	1120.104684264216	306.3125192800469	744.656599549167	557.8198203153745	248.5469318043661	711.9497439165041	493.9691200167992	958.9160180785832	340.8201368152834	239.2770679341064	512.9313823082575	13644.172298787294	1062.4759090235334	7633.960181550459	13825.053634945616	3989.8651686581297	263.49793043757484	323.38127724431246	860.5633738514141	307.14279779218975	
ADAM28	1943.7426985504471	1148.1201384157362	324.78080013972686	22.689718097470028	40.06171310597238	21.23331069181878	15.209619881538739	24.281406234939144	24.370752232029098	74.7663350140784	193.60939224022752	94.40581807535592	58.31120270167602	54.966487027675825	274.63999698503517	360.6820441793997	37.29172579277506	53.21964861455652	137.85362839378405	116.87950376062648	546.006157359477	128.6860656975703	
ADAMDEC1	371.03359291193584	318.47879900552783	127.96744773644383	44.616286868906215	80.96450040141197	47.43351386847197	30.55297648599219	68.73789330672798	231.82725426923201	156.70765509206626	68.27758591576533	48.39924584472657	106.3013359852661	4464.262133267573	8524.022801391204	5004.969419431317	164.84124935299684	1784.6139411103554	730.1921707944749	1569.7617217433594	175.16991077495476	185.50592276962274	
AIF1	24.07429840205199	20.321858966297967	21.96957307570251	742.8158187259369	718.6147867991566	35.17224769741341	39.508760332942714	19.077684346703638	1086.9596587706787	29.36703510589895	105.73455268282751	23.17042571844581	8655.6800018135	1841.2695080095175	1611.2285706736245	11610.29034628898	3285.6408152323993	26.923858902305675	1851.1241252484524	1672.6303267601627	51.17646343738406	6260.640468835153	
AIM2	327.95805555575316	4538.991045800092	1429.6740882605038	294.4846138689553	57.080796733538314	250.29958025087726	3311.978392814827	1115.68161153352	407.5929050456371	315.6458747766551	87.22742350802051	134.49586514091166	536.1118999298443	181.95709995737113	2965.888161993594	148.28452233505655	176.96158836506766	907.0399616383054	93.47144882119076	62.125454222789614	117.5077055916653	794.2145571905645	
ALOX15	12.233594609056777	13.75323798455764	9.073509292625731	9.774971658109642	18.556561800536123	12.00966260883513	5.239540574795304	13.152252664359825	14.452759203274852	22.38142496874533	30.17685431720094	9.776317635390178	9.80085537246556	6.621226619273104	5.412216318229419	430.33530478076807	2907.3279940729913	30.34226561712531	11.139470860543614	10.654850196689065	355.2522821583402	30.06854620949533	
ALOX5	1799.683549041587	2425.680554328531	190.3314674383648	78.68443963318013	74.93090364760053	132.01012240514459	59.087359157599586	35.00087492923133	441.55562329570927	143.0134329050932	157.03650442420334	121.99779522545157	1979.3011552504327	788.5397751238816	83.30089783480302	248.37247243951688	118.4834953589042	73.1059619779199	641.1396907360795	590.925738119139	1460.7585194157068	2917.271380349604	
AMPD1	263.7450621461069	217.7617272063498	3012.7680612031045	66.1074898991057	68.661945268021	85.3183672610343	68.46140596905857	53.95513651623928	114.04953833773314	79.26421173995108	59.14043650432724	60.67685000974499	98.2326066995706	76.54456663828861	62.39764428161691	59.952693715103315	89.21099812104421	60.64349611211196	56.20857679547082	75.44109945035811	118.49845201761357	173.7766404346815	
ANGPT4	23.122172958498986	21.31255675182927	230.6806713327483	44.6846593619742	22.06014826874163	44.47513375474161	99.59399621783282	101.44558596428658	29.258584502766013	29.465077679862524	9.380755775256151	26.17664299479976	16.91869965022545	39.3325700320529	21.218126997624562	11.809701202321108	17.894284945151647	12.018703579772895	33.41141420852867	31.32955998026349	14.812343864564989	34.71867079727832	
ANGPTL3	82.94876635485697	62.95966483565606	40.33578570800918	13.475778009549979	5.487026221561837	57.976864777487314	33.021233489872955	28.972410055449608	105.15407556741968	60.91981186732114	21.18071908584437	22.17275389484565	20.54673493408378	20.081020044297723	21.71773363106385	6.584505359795433	34.590120042997874	45.68239628133117	11.257151655104623	16.345430041223306	63.078962708390165	14.681235495924366	
