,B Cell,Dendritic Cell,Lymphocyte,Monocyte,Multiple,Myeloid,NK Cell,Neutrophil,T Cell
732,,,,,225386_s_at,,,,
733,,,,,228986_at,,,,
734,,,,,230170_at,,,,
735,,,,,235198_at,,,,
736,,,,,227645_at,,,,
737,,,,,229686_at,,,,
738,,,,,236280_at,,,,
739,,,,,236907_at,,,,
740,,,,,208875_s_at,,,,
741,,,,,208878_s_at,,,,
742,,,,,223562_at,,,,
743,,,,,233510_s_at,,,,
744,,,,,211302_s_at,,,,
745,,,,,218018_at,,,,
746,,,,,202671_s_at,,,,
747,,,,,232213_at,,,,
748,,,,,232304_at,,,,
749,,,,,218319_at,,,,
750,,,,,227068_at,,,,
751,,,,,41469_at,,,,
752,,,,,203691_at,,,,
753,,,,,217862_at,,,,
754,,,,,203879_at,,,,
755,,,,,239294_at,,,,
756,,,,,209193_at,,,,
757,,,,,229713_at,,,,
758,,,,,231598_x_at,,,,
759,,,,,222826_at,,,,
760,,,,,203470_s_at,,,,
761,,,,,203471_s_at,,,,
762,,,,,206471_s_at,,,,
763,,,,,206470_at,,,,
764,,,,,204285_s_at,,,,
765,,,,,204286_s_at,,,,
766,,,,,228801_at,,,,
767,,,,,208828_at,,,,
768,,,,,225073_at,,,,
769,,,,,202166_s_at,,,,
770,,,,,228964_at,,,,
771,,,,,224909_s_at,,,,
772,,,,,224925_at,,,,
773,,,,,213113_s_at,,,,
774,,,,,210692_s_at,,,,
775,,,,,232811_x_at,,,,
776,,,,,227510_x_at,,,,
777,,,,,231735_s_at,,,,
778,,,,,228582_x_at,,,,
779,,,,,223577_x_at,,,,
780,,,,,223578_x_at,,,,
781,,,,,223940_x_at,,,,
782,,,,,224568_x_at,,,,
783,,,,,226675_s_at,,,,
784,,,,,202880_s_at,,,,
785,,,,,219183_s_at,,,,
786,,,,,209606_at,,,,
787,,,,,201404_x_at,,,,
788,,,,,208777_s_at,,,,
789,,,,,206631_at,,,,
790,,,,,208615_s_at,,,,
791,,,,,227396_at,,,,
792,,,,,202716_at,,,,
793,,,,,236539_at,,,,
794,,,,,206687_s_at,,,,
795,,,,,212587_s_at,,,,
796,,,,,212588_at,,,,
797,,,,,207238_s_at,,,,
798,,,,,226219_at,,,,
799,,,,,201087_at,,,,
800,,,,,205174_s_at,,,,
801,,,,,225251_at,,,,
802,,,,,228003_at,,,,
803,,,,,229072_at,,,,
804,,,,,228113_at,,,,
805,,,,,213603_s_at,,,,
806,,,,,207419_s_at,,,,
807,,,,,212646_at,,,,
808,,,,,214435_x_at,,,,
809,,,,,239409_at,,,,
810,,,,,227897_at,,,,
811,,,,,218669_at,,,,
812,,,,,225738_at,,,,
813,,,,,226389_s_at,,,,
814,,,,,230078_at,,,,
815,,,,,228250_at,,,,
816,,,,,230669_at,,,,
817,,,,,225562_at,,,,
818,,,,,205590_at,,,,
819,,,,,208206_s_at,,,,
820,,,,,205801_s_at,,,,
821,,,,,223322_at,,,,
822,,,,,202040_s_at,,,,
823,,,,,237333_at,,,,
824,,,,,212332_at,,,,
825,,,,,225265_at,,,,
826,,,,,219681_s_at,,,,
827,,,,,206036_s_at,,,,
828,,,,,235242_at,,,,
829,,,,,205205_at,,,,
830,,,,,235816_s_at,,,,
831,,,,,216834_at,,,,
832,,,,,202988_s_at,,,,
833,,,,,204336_s_at,,,,
834,,,,,236293_at,,,,
835,,,,,60471_at,,,,
836,,,,,222062_at,,,,
837,,,,,213566_at,,,,
838,,,,,217984_at,,,,
839,,,,,235536_at,,,,
840,,,,,232792_at,,,,
841,,,,,227223_at,,,,
842,,,,,224618_at,,,,
843,,,,,214697_s_at,,,,
844,,,,,222679_s_at,,,,
845,,,,,222678_s_at,,,,
846,,,,,227916_x_at,,,,
847,,,,,223490_s_at,,,,
848,,,,,232231_at,,,,
849,,,,,204198_s_at,,,,
850,,,,,204197_s_at,,,,
851,,,,,201846_s_at,,,,
852,,,,,234987_at,,,,
853,,,,,204502_at,,,,
854,,,,,220330_s_at,,,,
855,,,,,200069_at,,,,
856,,,,,216899_s_at,,,,
857,,,,,220232_at,,,,
858,,,,,202082_s_at,,,,
859,,,,,204563_at,,,,
860,,,,,209879_at,,,,
861,,,,,209880_s_at,,,,
862,,,,,240064_at,,,,
863,,,,,203528_at,,,,
864,,,,,212415_at,,,,
865,,,,,209723_at,,,,
866,,,,,215780_s_at,,,,
867,,,,,210172_at,,,,
868,,,,,227210_at,,,,
869,,,,,201742_x_at,,,,
870,,,,,214882_s_at,,,,
871,,,,,213850_s_at,,,,
872,,,,,209376_x_at,,,,
873,,,,,244780_at,,,,
874,,,,,201810_s_at,,,,
875,,,,,211565_at,,,,
876,,,,,209339_at,,,,
877,,,,,223285_s_at,,,,
878,,,,,242943_at,,,,
879,,,,,230261_at,,,,
880,,,,,230836_at,,,,
881,,,,,206925_at,,,,
882,,,,,203760_s_at,,,,
883,,,,,206181_at,,,,
884,,,,,222838_at,,,,
885,,,,,234306_s_at,,,,
886,,,,,219159_s_at,,,,
887,,,,,225043_at,,,,
888,,,,,225057_at,,,,
889,,,,,230748_at,,,,
890,,,,,210686_x_at,,,,
891,,,,,226679_at,,,,
892,,,,,222088_s_at,,,,
893,,,,,202499_s_at,,,,
894,,,,,202497_x_at,,,,
895,,,,,212290_at,,,,
896,,,,,229776_at,,,,
897,,,,,228869_at,,,,
898,,,,,241756_at,,,,
899,,,,,201589_at,,,,
900,,,,,227305_s_at,,,,
901,,,,,238449_at,,,,
902,,,,,200071_at,,,,
903,,,,,209130_at,,,,
904,,,,,220358_at,,,,
905,,,,,242146_at,,,,
906,,,,,202113_s_at,,,,
907,,,,,210001_s_at,,,,
908,,,,,223980_s_at,,,,
909,,,,,208012_x_at,,,,
910,,,,,209762_x_at,,,,
911,,,,,209761_s_at,,,,
912,,,,,222537_s_at,,,,
913,,,,,229026_at,,,,
914,,,,,225751_at,,,,
915,,,,,231597_x_at,,,,
916,,,,,244804_at,,,,
917,,,,,208095_s_at,,,,
918,,,,,208610_s_at,,,,
919,,,,,221753_at,,,,
920,,,,,226080_at,,,,
921,,,,,230970_at,,,,
922,,,,,209027_s_at,,,,
923,,,,,238563_at,,,,
924,,,,,222412_s_at,,,,
925,,,,,209023_s_at,,,,
926,,,,,209969_s_at,,,,
927,,,,,232375_at,,,,
928,,,,,203010_at,,,,
929,,,,,212009_s_at,,,,
930,,,,,203047_at,,,,
931,,,,,40420_at,,,,
932,,,,,228394_at,,,,
933,,,,,202693_s_at,,,,
934,,,,,205214_at,,,,
935,,,,,202951_at,,,,
936,,,,,225364_at,,,,
937,,,,,236259_at,,,,
938,,,,,211085_s_at,,,,
939,,,,,235670_at,,,,
940,,,,,212225_at,,,,
941,,,,,233827_s_at,,,,
942,,,,,209306_s_at,,,,
943,,,,,209307_at,,,,
944,,,,,207540_s_at,,,,
945,,,,,244023_at,,,,
946,,,,,209024_s_at,,,,
947,,,,,217832_at,,,,
948,,,,,209025_s_at,,,,
949,,,,,238423_at,,,,
950,,,,,213888_s_at,,,,
951,,,,,205804_s_at,,,,
952,,,,,239835_at,,,,
953,,,,,207616_s_at,,,,
954,,,,,209451_at,,,,
955,,,,,202307_s_at,,,,
956,,,,,225973_at,,,,
957,,,,,200020_at,,,,
958,,,,,201867_s_at,,,,
959,,,,,219715_s_at,,,,
960,,,,,206715_at,,,,
961,,,,,237215_s_at,,,,
962,,,,,205016_at,,,,
963,,,,,203085_s_at,,,,
964,,,,,203833_s_at,,,,
965,,,,,226319_s_at,,,,
966,,,,,226320_at,,,,
967,,,,,212770_at,,,,
968,,,,,223751_x_at,,,,
969,,,,,219892_at,,,,
970,,,,,207113_s_at,,,,
971,,,,,202644_s_at,,,,
972,,,,,202643_s_at,,,,
973,,,,,206026_s_at,,,,
974,,,,,203508_at,,,,
975,,,,,214228_x_at,,,,
976,,,,,35150_at,,,,
977,,,,,215346_at,,,,
978,,,,,204780_s_at,,,,
979,,,,,207536_s_at,,,,
980,,,,,235735_at,,,,
981,,,,,241819_at,,,,
982,,,,,220655_at,,,,
983,,,,,233851_s_at,,,,
984,,,,,235716_at,,,,
985,,,,,1729_at,,,,
986,,,,,205599_at,,,,
987,,,,,222439_s_at,,,,
988,,,,,227786_at,,,,
989,,,,,238520_at,,,,
990,,,,,239818_x_at,,,,
991,,,,,203567_s_at,,,,
992,,,,,203568_s_at,,,,
993,,,,,222855_s_at,,,,
994,,,,,222398_s_at,,,,
995,,,,,236528_at,,,,
996,,,,,209088_s_at,,,,
997,,,,,212007_at,,,,
998,,,,,208998_at,,,,
999,,,,,203234_at,,,,
1000,,,,,223303_at,,,,
1001,,,,,202412_s_at,,,,
1002,,,,,209137_s_at,,,,
1003,,,,,242695_at,,,,
1004,,,,,222616_s_at,,,,
1005,,,,,221654_s_at,,,,
1006,,,,,202205_at,,,,
1007,,,,,201831_s_at,,,,
1008,,,,,38964_r_at,,,,
1009,,,,,202664_at,,,,
1010,,,,,202665_s_at,,,,
1011,,,,,231182_at,,,,
1012,,,,,232964_at,,,,
1013,,,,,221581_s_at,,,,
1014,,,,,210935_s_at,,,,
1015,,,,,222544_s_at,,,,
1016,,,,,242968_at,,,,
1017,,,,,228315_at,,,,
1018,,,,,205926_at,,,,
1019,,,,,210285_x_at,,,,
1020,,,,,228617_at,,,,
1021,,,,,223056_s_at,,,,
1022,,,,,230618_s_at,,,,
1023,,,,,211948_x_at,,,,
1024,,,,,232216_at,,,,
1025,,,,,217717_s_at,,,,
1026,,,,,200047_s_at,,,,
1027,,,,,213376_at,,,,
1028,,,,,222816_s_at,,,,
1029,,,,,238800_s_at,,,,
1030,,,,,201367_s_at,,,,
1031,,,,,229765_at,,,,
1032,,,,,203739_at,,,,
1033,,,,,240013_at,,,,
1034,,,,,205039_s_at,,,,
1035,,,,,223382_s_at,,,,
1036,,,,,236125_at,,,,
