,B Cell,Dendritic Cell,Lymphocyte,Monocyte,Multiple,Myeloid,NK Cell,Neutrophil,T Cell
205,,,208676_s_at,,201584_s_at,210511_s_at,,,
206,,,201014_s_at,,225434_at,205469_s_at,,,
207,,,209669_s_at,,226659_at,210184_at,,,
208,,,217725_x_at,,205033_s_at,226189_at,,,
209,,,222035_s_at,,234915_s_at,212746_s_at,,,
210,,,216945_x_at,,225195_at,231513_at,,,
211,,,214512_s_at,,223138_s_at,206765_at,,,
212,,,201202_at,,243109_at,212188_at,,,
213,,,226452_at,,224455_s_at,41386_i_at,,,
214,,,227212_s_at,,212959_s_at,212421_at,,,
215,,,225533_at,,226945_at,225847_at,,,
216,,,227211_at,,223452_s_at,224807_at,,,
217,,,204269_at,,230245_s_at,227624_at,,,
218,,,223403_s_at,,225051_at,242665_at,,,
219,,,202165_at,,226264_at,217388_s_at,,,
220,,,203057_s_at,,235085_at,210663_s_at,,,
221,,,214617_at,,220725_x_at,204385_at,,,
222,,,218764_at,,224914_s_at,226354_at,,,
223,,,206099_at,,235341_at,227438_at,,,
224,,,210038_at,,229115_at,201551_s_at,,,
225,,,204060_s_at,,201697_s_at,211101_x_at,,,
226,,,228401_at,,219279_at,211100_x_at,,,
227,,,213193_x_at,,213160_at,210660_at,,,
228,,,211796_s_at,,225502_at,207857_at,,,
229,,,210915_x_at,,232843_s_at,211336_x_at,,,
230,,,215894_at,,226525_at,207697_x_at,,,
231,,,205171_at,,207001_x_at,210146_x_at,,,
232,,,204852_s_at,,204014_at,210784_x_at,,,
233,,,204960_at,,204015_s_at,210225_x_at,,,
234,,,203554_x_at,,209457_at,211135_x_at,,,
235,,,222077_s_at,,202971_s_at,211133_x_at,,,
236,,,222680_s_at,,226952_at,208594_x_at,,,
237,,,218585_s_at,,205419_at,212687_at,,,
238,,,226392_at,,206437_at,200706_s_at,,,
239,,,214369_s_at,,209572_s_at,226702_at,,,
240,,,204023_at,,221497_x_at,238476_at,,,
241,,,224450_s_at,,225827_at,227514_at,,,
242,,,235199_at,,205321_at,227853_at,,,
243,,,235567_at,,241843_at,227129_x_at,,,
244,,,209507_at,,201123_s_at,235709_at,,,
245,,,212973_at,,213757_at,238756_at,,,
246,,,209773_s_at,,201024_x_at,229958_at,,,
247,,,201890_at,,212420_at,225899_x_at,,,
248,,,236782_at,,31845_at,225659_at,,,
249,,,218681_s_at,,235359_at,225045_at,,,
250,,,227552_at,,217294_s_at,225283_at,,,
251,,,212414_s_at,,207691_x_at,41387_r_at,,,
252,,,200753_x_at,,209474_s_at,227252_at,,,
253,,,207351_s_at,,222646_s_at,231861_at,,,
254,,,201195_s_at,,235102_x_at,214574_x_at,,,
255,,,204240_s_at,,240988_x_at,214181_x_at,,,
256,,,201663_s_at,,241632_x_at,215633_x_at,,,
257,,,201664_at,,239959_x_at,211582_x_at,,,
258,,,206055_s_at,,236198_at,210629_x_at,,,
259,,,212780_at,,229711_s_at,211581_x_at,,,
260,,,229261_at,,239597_at,236172_at,,,
261,,,214791_at,,228812_at,202626_s_at,,,
