sample_id	gene_name	est_counts	tpm
1	NME1-NME2	360.41374	86.305532
1	NME1P1	0.0	0.0
1	NME2	2.25775	0.519947
1	NME2P1	2.0	1.47993
1	NME3	100.99994	20.421466
1	NME4	125.16801	18.848467
1	NME5	5.0	2.83395
1	NME6	38.6227700312	7.89239700874
1	NME7	49.19174	7.055853
1	NME8	1.0	0.0871003
1	NME9	42.0	4.36943
1	NMI	91.99998	12.058191
1	NMNAT1	37.00592	7.694129
1	NMNAT1P1	0.0	0.0
1	NMNAT1P2	0.0	0.0
1	NMNAT1P3	0.0	0.0
1	NMNAT1P4	0.0	0.0
1	NMNAT1P5	0.0	0.0
1	NMNAT2	3.35753	0.108945
1	NMNAT3	1.0	0.315278
1	NMRAL1	43.00001	9.118886
1	NMRK1	39.36224	6.643907
1	NMRK2	3.0	1.65799
1	NMS	0.0	0.0
1	NMT1	534.999769	66.97869
1	NMT2	279.73216	32.485074
1	NMTRQ-TTG12-1	0.0	0.0
1	NMTRS-TGA3-1	0.0	0.0
1	NMU	0.0	0.0
1	NMUR1	44.0941	2.21279
1	NMUR2	0.0	0.0
1	NNAT	43.99996	6.11601
1	NNMT	4.248582425	1.038131635
1	NNT	339.12613	17.575174
1	NOA1	117.826	5.54862
1	NOB1	134.00042	20.432801
1	NOBOX	3.0	0.253242
1	NOC2L	310.0418	19.6366
1	NOC3L	378.9999	31.0244
1	NOC4L	86.00002	10.90934
1	NOD1	128.99998	5.239904
1	NOD2	51.0	2.192129
1	NODAL	8.0	1.119226
1	NOG	5.0	0.407595
1	NOL10	252.00025	17.380631
1	NOL11	610.91248	75.28381
1	NOL12	47.89639	6.004891
1	NOL3	3.000005	0.861047
1	NOL4	0.0	0.0
1	NOL4L	124.00001	9.943966
1	NOL6	385.78008	21.123578
1	NOL7	224.9758	43.9517
1	NOL8	565.432734	55.0639681
1	NOL8P1	0.0	0.0
1	NOL9	361.06605	16.558798
1	NOLC1	431.999392555	28.5133105692
1	NOM1	195.27772	19.608639
1	NOMO1	129.48111	5.603441
1	NOMO2	166.56631	11.776879
1	NOMO3	113.03792	28.022269
1	NONO	3852.08818	492.548836
1	NONOP2	321.0	54.4658
1	NOP10	65.0	30.8902
1	NOP14	207.522481015	9.9616984436
1	NOP16	71.86281	14.237911
1	NOP2	778.014494802	129.121239621
1	NOP56	358.76858	60.799892
1	NOP56P1	0.0	0.0
1	NOP56P2	0.0	0.0
1	NOP56P3	3.0	2.57617
1	NOP58	2400.99523	615.641718
1	NOP9	474.27921	14.77453
1	NOS1	83.47775922	1.69090245877
1	NOS1AP	3.0	0.164363
1	NOS2	2.0	0.0783102
1	NOS2P1	0.0	0.0
1	NOS2P2	0.0	0.0
1	NOS2P3	13.4851	0.727385
1	NOS2P4	0.0	0.0
1	NOS3	12.64678	1.717121
1	NOSIP	74.13761	11.088849
1	NOSTRIN	14.03481146	2.79454213
1	NOTCH1	605.99982	12.01207
1	NOTCH2	1484.26765	31.904134
1	NOTCH2NL	167.25185	23.19285
1	NOTCH2P1	2.0	0.906542
1	NOTCH3	8.4487	1.3775216
1	NOTCH4	45.75971	2.9111613
1	NOTO	10.3495	0.62272
1	NOTUM	4.0	0.250057
1	NOV	3.0	0.224382
1	NOVA1	6.009055	0.2662022
1	NOVA2	10.15129	1.769943
1	NOX1	1.0	0.114414
1	NOX3	1.0	0.0922293
1	NOX4	20.4806	0.997463
1	NOX5	27.28964	0.877969
1	NOXA1	48.0	4.54877
1	NOXO1	2.84	1.12709
1	NOXRED1	6.4140291	0.6532435
