gene_name	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
AC087380.14	4.0	2.0	0.0	4.0	1.0	19.0	1.0	6.0	11.0	1.0	1.0	4.0	1.0	10.0	1.0	14.0	0.0	3.0	5.0	5.0	5.0	17.0	2.0	2.0	9.0	1.0	12.0	1.0	0.0	2.0	11.0	4.0	3.0	0.0	4.0	2.0	8.0	3.0	4.0	3.0	2.0	0.0	4.0	5.0	10.0	5.0	5.0	10.0	4.0	17.0	1.0	1.0	0.0	0.0	2.0	2.0	3.0	1.0	3.0	4.0	2.0	2.0	5.0
AC093166.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC109815.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00169	0.0	0.0	0.0	0.0	0.0	1.0	0.0
AC114814.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC123900.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACACB	331.81911999999994	206.0365220961	257.03462833273	434.33391034034196	312.2879636167	824.70208	135.5767658547	770.3643700000001	1471.8360599999999	359.12720398970004	413.23130062	536.0795300279443	253.40486999999996	513.4908702406831	240.12149	1566.55087	237.75087000000005	238.3124	326.5655938240001	331.269063	144.39945921238	400.60381699	373.30663719300003	241.74430999999998	773.02856	296.083702048	630.47646	303.40423	296.0453272	236.55820408560004	280.7949300786449	285.96579900000006	455.66728300000005	124.462216	367.048294	454.56507000000005	810.5137399999999	358.7009539	413.24219	258.9225800216318	245.41114	238.50651159530003	440.652030571525	322.05192999999997	683.8147710897699	188.320300536844	288.12746999999996	430.04465986800005	339.11473	451.5315458533	378.69401000000005	166.02242	288.79175000000004	165.85388	168.20435511229996	428.882698309	271.68419000000006	380.34823496359996	299.528830804	293.41366	310.3807457035	879.5789400000001	575.87086
ACBD3	527.99966	553.00025	1548.9972	804.0000000000001	464.99968	587.0004	475.99995	578.00046	1491.0013	722.9999	656.99978	548.9999300000001	630.99992	578.99999	145.00043	1580.9988	533.0003	653.00022	440.99976	613.9996600000001	1709.9969999999998	390.0001	698.99978	677.99969	650.00033	1456.9967	862.00005	378.0	889.0001799999999	304.00016	413.99965000000003	324.00048	704.0003999999999	658.0	545.99992	601.00007	502.99967999999996	651.0004	345.99989000000005	503.00011	515.99955	688.9997800000001	1721.0014	582.0001599999999	409.00009	857.0004	371.00034	1629.0039000000002	697.9995	458.99991	669.00019	483.00046	326.0	604.99989	614.9997299999999	777.9996	364.99972999999994	735.0003299999998	710.9995	374.00032999999996	475.9996	474.00010999999995	459.99986
ACTBP14	2.0	2.0	1.0	1.0	1.0	0.0	2.0	4.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	3.0	0.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	0.0	5.0	4.0	1.0	11.0	1.0	2.0	0.0	0.0	3.0	1.0	1.0	2.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	5.0	2.0	4.0	0.0	17.0	0.0	3.0	1.0	1.0	1.0	0.0	0.0
ACTG2	4.12934	2.10705	1.0467899999999999	9.70275	4.443759999999999	7.500719999999999	6.5935999999999995	4.07528	7.63588	5.685980000000001	1.0	2.60872	1.0753700000000002	5.130879999999999	1.0710600000000001	7.58977	4.17757	18.27024	3.05653	14.546560000000001	2.10153	6.5543	3.0	8.55048	4.0	2.31199	0.500235	8.59439	2.51459	7.93522	43.00528	4.18309	6.2837	2.26171	2.113168	10.142314999999998	6.0	7.1808700000000005	6.0038800000000005	3.10836	7.971948	0.9046280000000001	6.00001	8.407774	0.0	8.898567	3.0986200000000004	12.81297	0.0	2.12409	5.43555	3.36387	6.08978	6.0	7.473183000000001	38.84498	8.26559	4.360580000000001	4.633684000000001	3.664936	2.785746	0.0	0.666352
ADARB1	629.1070310000001	161.24998	1042.6885502752002	243.5763	363.64602	888.3707400000001	522.0620040000001	979.917246825419	992.2047149999999	479.80969	499.606849	294.51627499999995	741.66885	925.5520600126083	269.044671	1020.22821	491.46556726	354.97260000000006	184.74540000000002	648.80688287552	248.41634000000005	438.21591210533	501.9828195208631	348.34014748999994	1006.6651799407289	2136.37449	481.526288	356.79949999999997	209.80266000000003	311.561088	182.26754343000002	362.55619	431.41206	152.53862	685.730850533885	378.998545	1156.56268	515.7620107118514	362.22007399999995	153.8143	302.70007000000004	575.645354	82.31575300000002	309.3077	771.1435366000001	255.68688058141197	99.95402000000001	71.78739	511.3949502543	744.1749500000001	474.40246898299995	78.705	323.93780999999996	716.8385599999999	166.192	448.86886000000004	203.977453	245.70942000000002	931.7807292373	208.06016	433.21665	580.7069650000001	748.68703
ADCK4	241.69137999999995	72.01467	81.53412000000002	112.45876	85.38503	346.03559	121.007653	571.83333	222.46316	187.52830999999998	243.14922000000004	99.01626	172.01420000000002	309.1281500000001	100.35168999999999	236.55883002134655	183.810115	137.26869999999997	134.00754	206.18372000000002	212.23280574280002	173.54157	209.86127	147.49953	570.9729	161.170178	136.81998000000002	129.0107700393955	100.6466	129.99991999999997	136.766664	211.72368000000003	94.39201580000001	111.97318700000001	235.61655	129.30416	540.25527	169.01628	224.02530999999996	214.27137	125.16374999999998	185.19869	272.05239	170.09461	330.06084	143.15877	153.21047058874203	293.38759	194.00525000000002	206.83282000000005	185.1971	69.00943000000001	109.13953	52.31654	86.30884	226.49518	136.25414	118.38307999999999	76.35759	164.15792999999996	199.3353567	347.56316	281.27842000000004
ADCY1	11.910762	7.5058	8.65917	27.369999999999997	4.23535	9.503260000000001	14.8514	1.01492	9.85639	8.64676	15.6025	7.581589999999999	7.498480000000001	17.8854	1.04534	13.2593	14.5245	20.722776	8.232289999999999	18.1167	8.66628	2.01532	8.29279	5.297918999999999	7.0281	6.295	9.35172	10.25751	15.3292	10.5197	124.75430000000001	5.088659999999999	7.14266	6.69285	4.11904	6.30356	9.37478	16.5395	4.14384	3.1261900000000002	8.52417	10.8518	27.2592	10.74104	2.07039	11.8978	4.32951	26.5974	9.04157	9.43793	9.425088	5.4263259999999995	4.24435	9.07122	7.10677	82.28732	21.6783	17.411341	10.9762	9.48124	9.246739999999999	5.07536	7.114139999999999
ADCYAP1	1.00021	8.999995	1.0003600000000001	4.05419	3.00199	0.0	0.0	1.0000799999999999	0.0	3.0177889999999996	3.0	0.0	1.00016	0.0	0.0	1.03595	3.000572	5.0014	5.00162	3.0	0.0	0.0	1.0	0.0	7.00155	2.424416	0.0	0.0	2.0003692	5.00455	26.2785	1.00425	4.040319	0.0	1.0	4.0013	2.00056	1.0	1.0000799999999999	1.0	2.015608	0.0	5.012723	3.0007900000000003	0.0	1.00017	0.0	2.0	0.0	0.0	1.00005	2.01135	2.0049799999999998	7.78954	2.251885	28.0056	4.0008099999999995	2.0	0.0	2.00058	0.0	0.0	1.0
ADH1B	4.0099575000000005	8.0215961	10.068966	15.210228800000001	5.0720502	9.895645	7.171948	16.329923	15.18616	8.059237	8.0201461	7.066856	9.1496294	7.3131319999999995	3.0082094	11.12428	8.0026185	11.458318219999999	6.160537100000001	17.138333	7.0132341	6.0397419999999995	1.0271824999999999	4.0286832	12.032355999999998	12.281402	9.127356500000001	7.076488	15.113887000000002	7.0576086	36.232918999999995	8.11597372	1.2066761999999998	18.526998	9.021877	12.657010999999999	17.06796	2.0166175	4.026945700000001	9.024896	8.1082406	7.0824861	17.0828865	9.03280465	8.03102	13.059781000000001	9.097873	26.191796	4.0241786	4.039844	10.023446	4.1036939100000005	11.0439548	6.0138871	4.0088463	18.217897	14.117171786	5.0200229	7.029081	5.044565599999999	8.014896	14.096123	8.09391109
AES	3475.003	2899.9988000000003	6293.99972	5330.9975	4895.998799999999	8858.008	3895.99776	6012.0029	15992.996100000002	5615.995700000001	5658.003100000002	6214.999920000001	5004.9969	3978.9979999999996	2468.9988	16249.002800000002	7059.000400000001	7316.0025000000005	4654.005	6337.0043000000005	6039.003600000001	4288.0018	5560.9991	11107.004940000004	5993.006900000001	7771.998259999999	7311.003100000001	3720.0038	4204.9965	3326.0062000000003	2028.0009000000002	3562.9977300000005	6824.006399999999	3765.0009999999997	4073.0061	7557.998299999999	6908.0034000000005	5262.9945	4669.0022	6858.994999999999	6730.996999999999	5528.9998000000005	8950.005479999998	6955.004099999999	6522.999200000002	6014.0021	6123.9982	8945.005899999998	7311.0047	4459.9959	5505.996300000001	2852.00173	4816.0055999999995	2888.9999000000007	4564.998500000001	6700.002829999999	4485.998599999999	8060.000100000001	4848.994500000002	4115.0003	5502.9944000000005	6295.005299999999	4401.004279999998
AGR2	0.0	5.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.999995	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0
AGRP	2.0	0.0	0.0	1.0	0.0	3.0	3.0	3.0	4.0	3.0	1.0	3.0	3.0	1.0	4.0	4.0	1.0	9.0	2.0	5.0	1.0	4.0	2.0	2.0	3.0	1.0	0.0	3.0	2.0	3.0	20.0	0.0	0.0	0.0	3.0	3.0	6.0	2.0	3.0	7.0	4.0	5.0	6.0	7.0	2.0	2.0	4.0	6.0	1.0	2.0	1.0	2.0	2.0	0.0	1.0	16.0	4.0	2.0	0.0	5.0	6.0	1.0	7.0
AHI1	513.487093	74.58561800000001	196.33745000000002	553.3017600000001	147.865648	164.87142999999998	295.06280000000004	570.4984000000001	198.05980300000002	285.52918	244.73566	237.38327	385.31701	758.00319	68.071643	195.71490999999997	352.83398000000005	246.280389	343.894935	595.1673000000001	161.63053499999998	177.55021	274.14853047737205	115.51611999999999	346.05909999999994	254.42856999999998	146.19286	197.69977	255.04275999999996	180.73561	225.51185000000007	381.6898300000001	154.36383000000004	932.2049399999999	350.8615899999999	160.91422999999998	403.82419999999996	267.259699	326.98632	505.92804	223.29182999999995	595.4322999999999	1359.4505600000002	346.66854600000005	295.843482604	692.22004	452.76694	1399.5112499999998	562.31282	358.55552000000006	265.92685000000006	353.496847	211.22757	109.87922999999999	184.04798	255.859552	295.32253000000003	98.52322	332.150757	507.19300000000004	488.54162458210004	480.59263	615.0647399999999
