NAME	B_CD5	B_Memory	B_Naive	CD4_Central_Memory	CD4_Effector_Memory	CD4_Naive	CD4_Th1	CD4_Th17	CD4_Th2	CD4_Treg	CD8_Central_Memory	CD8_Effector	CD8_Naive	
ABCB4	816.8442705753379	162.86544193804858	1122.8348408900247	5.982069100768671	3.8466705701215647	5.675816009782451	8.082906691407821	3.2066345880952207	1.8475592961692473	1.0	6.325938589860813	1.6198887729756541	9.760272692972615	
AKAP6	86.95915149667735	34.62922274177577	100.32650940023902	51.04697446441677	18.328567264466276	92.44167507421693	25.523497119910147	30.52270699511463	34.99890609199154	22.974046619609215	25.496349096572782	16.654068249834527	36.776562752678544	
APBB2	1033.8472495570793	27.738937563202636	530.7270309388928	18.575380439643027	11.707959219280934	24.349705753001903	20.40956106349613	20.40956106349613	11.36261383489945	20.40956106349613	11.025260019256308	10.844099120749137	12.39112365452683	
BACH2	5230.676842154433	1877.0219257591536	5380.181881540077	1430.0729363216249	785.5961643213726	1322.1866952602709	1615.5063938214482	984.1092120577143	1453.1011075177405	919.7785670241227	1137.7014817898328	700.1330798404078	1947.8346404817555	
BATF	1.3737567334984944	12.996517817664332	6.082868533950257	289.18094331945184	131.53112644416595	113.31264814859281	80.25204690646119	155.0232830917547	159.31665915161594	843.2364328477883	84.67327326308185	61.356214972912845	48.181766900798394	
BCL11B	24.281608916702297	7.585545048891272	18.575380439643027	5627.895131342976	5109.738076186002	5878.371645544381	4548.683432367783	4272.657857417071	3411.747453140086	3320.4790262701645	3668.8340856010645	3609.553577937382	4720.109371640754	
BLK	3609.553577937382	6592.904323098463	3492.768502191654	39.1686016395514	36.776562752678544	32.37377467069995	57.34947188655164	40.9942176484073	30.07359871323897	47.60294537454266	38.88912316073161	157.18308708400266	25.523497119910147	
C19orf38	13.240910887942439	31.233857836556783	26.55098888393655	17.878364817846602	4.89664583150728	14.10925850133759	4.690731169508288	3.249821863220875	6.365531132716673	4.980394886649616	11.666042232270215	5.435905342097259	11.82763343178966	
CCL4	1.2374137939947287	1.0	17.24611984223412	1.0	110.11247565596967	24.009551683011136	29.03051931896634	3.4544418853966405	12.277815134397176	1.0	17.08873400623991	259.7847062543813	17.878364817846602	
CCR12P	1.0345400439328742	1.0222485608121554	1.0288489226550819	9.760272692972615	1.0222485608121554	116.43115059237114	1.0288489226550819	1.0288489226550819	8.18709286538479	3.588311249806226	1.8900414100119063	1.0671479219603652	57.34947188655164	
CCR2	1.0166558226495255	1.24697119490183	1.0110630844868955	32.37377467069995	110.11247565596967	1.0222485608121554	67.7307858874255	186.03161920042302	103.09724355245703	12.84228445500842	20.716337030968766	72.88876578572832	1.014896999248674	
CCR3	1.806965365592538	2.429187745379378	1.0147562772563559	4.042764518420478	8.828088556149176	4.417696174141472	4.485493061309451	3.9118415965217443	31.63866335503357	12.277815134397176	5.747738620226205	6.365531132716673	1.014896999248674	
CCR9	16.30626408699011	18.575380439643027	13.571811771567814	85.43802753492568	48.86774486853905	15.734186544001108	95.01326276918032	164.52581762679293	17.066755040032998	64.00576712361362	23.36976417431775	26.55098888393655	5.675816009782451	
CD19	1661.1464171243897	1501.275170715835	1670.0964197945827	13.145806173571795	9.01750407680306	8.689419915548475	11.36261383489945	14.662247605364527	9.50106667434122	25.249925902257893	22.31165034081847	20.40956106349613	7.812719993768383	
CD1C	8.865123692545936	35.42208770685793	5.122828282450976	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
CD2	2.70174596708098	1.0288489226550819	1.0402311872261265	2025.3321101427314	1811.7295607814049	1670.0964197945827	1670.0964197945827	1947.8346404817555	1811.7295607814049	2073.6620780591406	1400.1262136638948	2246.4397131941973	1169.902170106318	
CD28	11.657904500380152	10.398752282342716	10.398752282342716	3161.887758925623	2073.6620780591406	2888.007386154908	3233.4065148325553	3411.747453140086	2292.6476216851665	3233.4065148325553	2131.4018286339733	1566.031932907354	1478.0657320675184	
CD38	436.0167758138841	65.07431110693733	201.34956955167843	89.05951294494517	28.6473739578405	62.148189425813044	55.04935103868992	34.23140923867186	27.957632814300833	100.32650940023902	33.527725255692836	24.349705753001903	48.181766900798394	
CD3D	1.0924976410189995	2.102352970726292	2.429187745379378	1566.031932907354	1409.7967462197153	1252.9677576487215	892.5418219746366	943.3353938258078	970.5786026131223	998.978562898146	1205.9747817915395	1122.8348408900247	1153.7718373646037	
CD3E	12.50781829531213	3.2913543561582457	7.149157805390268	1781.963317112483	2818.0695920219923	5878.371645544381	2499.1369731450636	4408.024458218671	4720.109371640754	2246.4397131941973	2216.9010912389303	2436.8989089765555	1877.0219257591536	
CD68	61.06732505313881	143.56108344638812	85.43802753492568	33.49715918198939	48.181766900798394	24.009551683011136	32.37377467069995	38.20862213467658	129.99169077959294	30.07359871323897	57.31949977226258	51.82407562802597	24.64115251619165	
CD70	10.698811910932744	418.4543673990519	35.82194311103571	13.145806173571795	16.83963686548088	1.0575887159494683	11.36261383489945	9.852313623894632	10.084375753867924	48.86774486853905	20.617801490542345	33.800289802974355	5.385077869175008	
CD72	719.4147720787628	195.84467818656043	454.30587813078614	58.82214931511869	40.9942176484073	26.55098888393655	26.84984275201763	40.15640948395023	32.74441536315429	52.44073688200028	50.01583783827065	61.356214972912845	35.42208770685793	
CD8A	12.330293599485202	7.149157805390268	16.83963686548088	11.82763343178966	4002.95709336631	12.277815134397176	2.550388661411468	3.249821863220875	12.123387098017961	16.654068249834527	5581.858147478664	7015.799971336377	4925.670570686938	
