Linux 3.16.0-4-amd64 (process-err431624-7ssxz) 	07/31/16 	_x86_64_	(4 CPU)

19:32:34        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
19:32:46        all     27.02      0.00      2.53      0.00      0.00      0.00      0.00      0.00      0.00     70.45
19:32:46          0      2.97      0.00      2.97      0.00      0.00      0.00      0.00      0.00      0.00     94.06
19:32:46          1      0.00      1.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     98.00
19:32:46          2     96.04      0.00      3.96      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:32:46          3      6.25      0.00      4.17      0.00      0.00      0.00      0.00      0.00      0.00     89.58
19:32:47        all     27.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00      0.00     71.00
19:32:47          0      0.00      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     98.99
19:32:47          1      0.99      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.01
19:32:47          2     99.01      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:32:47          3      8.08      0.00      5.05      0.00      0.00      0.00      0.00      0.00      0.00     86.87
19:32:48        all     27.00      0.00      2.50      0.00      0.00      0.00      0.25      0.00      0.00     70.25
19:32:48          0      0.00      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     98.99
19:32:48          1      0.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00      0.00     98.00
19:32:48          2     97.00      0.00      3.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:32:48          3      9.09      0.00      4.04      0.00      0.00      0.00      0.00      0.00      0.00     86.87
19:32:49        all     27.27      0.00      1.52      0.00      0.00      0.00      0.00      0.00      0.00     71.21
19:32:49          0      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     98.00
19:32:49          1      0.99      0.00      1.98      0.00      0.00      0.00      0.00      0.00      0.00     97.03
19:32:49          2     98.02      0.00      1.98      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:32:49          3      8.33      0.00      2.08      0.00      0.00      0.00      0.00      0.00      0.00     89.58
